nation_id,name,short_name,abbreviation,demonym,population,gender,baseball_quality,continent_id,main_language_id,quality_total,capital_id,use_hardcoded_ml_player_origins,this_is_the_usa
1,"Afghanistan","Afghanistan","AFG","Afghan",29863010,0,0,2,17,1,36236,0,0
4,"American Samoa","American Samoa","ASA","American Samoan",67000,0,2,5,30,10,62067,0,0
9,"Argentina","Argentina","ARG","Argentine",40091359,0,3,6,1,50,12296,0,0
11,"Aruba","Aruba","ARU","Aruban",107000,0,4,4,6,250,57516,0,0
12,"Australia","Australia","AUS","Australian",22577728,0,4,5,28,250,17031,0,0
13,"Austria","Austria","AUT","Austrian",8372930,0,2,3,31,10,85386,0,0
15,"Bahamas","Bahamas","BAH","Bahaman",342000,0,2,4,20,10,54308,0,0
20,"Belgium","Belgium","BEL","Belgian",10827519,0,2,3,6,10,12042,0,0
28,"Brazil","Brazil","BRA","Brazilian",194116780,0,3,6,5,50,11404,0,0
36,"Canada","Canada","CAN","Canadian",35151728,0,5,4,32,1250,57981,0,0
41,"Chile","Chile","CHI","Chilean",17180010,0,3,6,1,50,71387,0,0
42,"China","China","CHN","Chinese",1341780000,0,3,2,4,50,63480,0,0
44,"Colombia","Colombia","COL","Colombian",45789824,0,4,6,1,250,10334,0,0
49,"Cuba","Cuba","CUB","Cuban",11239363,0,5,4,1,1250,31031,0,0
51,"Czech Republic","Czech Republic","CZE","Czech",10476543,0,2,3,14,10,60791,0,0
53,"Denmark","Denmark","DEN","Danish",5532531,0,1,3,25,2,14982,0,0
56,"Dominican Republic","Dominican Republic","DOM","Dominican",10090000,0,5,4,1,1250,71432,0,0
58,"Ecuador","Ecuador","ECU","Ecuadoran",14312302,0,1,6,1,2,64121,0,0
61,"England","England","ENG","English",49138831,0,3,3,20,50,41733,0,0
69,"Finland","Finland","FIN","Finnish",5349068,0,2,3,11,10,31358,0,0
70,"France","France","FRA","French",62793432,0,2,3,8,10,62877,0,0
74,"Germany","Germany","GER","German",81757600,0,3,3,7,50,8808,0,0
79,"Guam","Guam","GUM","Guamanian",178000,0,2,2,0,10,399,0,0
80,"Guatemala","Guatemala","GUA","Guatemalan",14027000,0,3,4,1,50,26910,0,0
84,"Haiti","Haiti","HAI","Haitian",10033000,0,3,4,8,50,60350,0,0
86,"Honduras","Honduras","HON","Honduran",7466000,0,3,4,1,50,78977,0,0
90,"India","India","IND","Indian",1192830000,0,2,2,27,10,92369,0,0
91,"Indonesia","Indonesia","IDN","Indonesian",231369500,0,1,2,36,2,34866,0,0
153,"Ireland","Ireland","IRL","Irish",4450878,0,1,3,18,2,19826,0,0
95,"Italy","Italy","ITA","Italian",60200060,0,3,3,9,50,66219,0,0
97,"Jamaica","Jamaica","JAM","Jamaican",2719000,0,3,4,20,50,38612,0,0
98,"Japan","Japan","JPN","Japanese",127380000,0,5,2,2,1250,77661,0,0
111,"Lithuania","Lithuania","LTU","Lithuanian",3329227,0,2,3,13,10,83144,0,0
124,"Mexico","Mexico","MEX","Mexican",107550697,0,5,4,1,1250,49935,0,0
85,"The Netherlands","Netherlands","NED","Dutch",16640000,0,4,3,6,250,2783,0,0
133,"Netherlands Antilles","Netherlands Antilles","ANT","Dutch Antillean",19106,0,1,4,1,2,39891,0,0
135,"New Zealand","New Zealand","NZL","New Zealander",4315800,0,3,5,28,50,86078,0,0
136,"Nicaragua","Nicaragua","NCA","Nicaraguan",5743000,0,4,4,1,250,47484,0,0
141,"Norway","Norway","NOR","Norwegian",4907175,0,1,3,10,2,57818,0,0
145,"Panama","Panama","PAN","Panamanian",3454000,0,4,4,1,250,62478,0,0
194,"Philippines","Philippines","PHI","Filipino",92226600,0,3,2,34,50,47715,0,0
149,"Poland","Poland","POL","Polish",38163895,0,1,3,15,2,87793,0,0
150,"Portugal","Portugal","POR","Portuguese",10154115,0,1,3,5,2,45751,0,0
151,"Puerto Rico","Puerto Rico","PUR","Puerto Rican",3982000,0,5,4,1,1250,70279,0,0
156,"Russia","Russia","RUS","Russian",141927297,0,2,3,13,10,51979,0,0
163,"Saudi Arabia","Saudi Arabia","KSA","Saudi",28146658,0,1,2,17,2,66605,0,0
164,"Scotland","Scotland","SCO","Scottish",5062011,0,1,3,16,2,22779,0,0
169,"Singapore","Singapore","SIN","Singaporean",5076700,0,1,2,4,2,74222,0,0
176,"South Africa","South Africa","RSA","South African",49320500,0,3,1,20,50,17246,0,0
177,"South Korea","South Korea","KOR","South Korean",50419308,0,4,2,3,250,67203,0,0
178,"Spain","Spain","ESP","Spanish",43988577,0,2,3,1,10,46575,0,0
185,"Sweden","Sweden","SWE","Swedish",9366092,0,1,3,12,2,76292,0,0
186,"Switzerland","Switzerland","SUI","Swiss",7761800,0,1,3,7,2,8823,0,0
187,"Syria","Syria","SYR","Syrian",21906000,0,0,2,17,1,21834,0,0
43,"Taiwan","Taiwan","TPE","Taiwanese",23069345,0,4,2,4,250,78044,0,0
204,"Ukraine","Ukraine","UKR","Ukrainian",46936000,0,1,3,13,2,38376,0,0
206,"The United States","United States","USA","American",311900000,0,5,4,0,1250,87845,1,1
210,"Venezuela","Venezuela","VEN","Venezuelan",29075954,0,5,6,1,1250,17321,0,0
202,"Virgin Islands","Virgin Islands","VIR","Virgin Islander",110000,0,3,4,20,50,18946,0,0
212,"Wales","Wales","WAL","Welsh",2903085,0,1,3,20,2,17392,0,0
